GRIN_Accession,mean_observation_value
PI407311,12.3
PI423994,11.05
PI424009,12.3
PI424034,10.8
PI424064,12.3
PI424071,10.850000000000001
PI424074,12.3
PI424086,12.3
PI424118,12.3
PI438491,12.3
PI468919,12.9
PI507824,12.3
PI507839,12.3
PI578453,14.75
PI424025A,12.3
PI424102B,12.3
PI468396A,13.850000000000001
PI507800B,12.3
PI567336A,12.3
PI605869A,12.3
PI175190,12.4
PI203398,12.4
PI274506,12.4
PI323579,12.4
PI407137,12.4
PI407223,12.4
PI407276,12.4
PI407319,12.4
PI423886,12.4
PI424015,12.4
PI424068,10.9
PI424304,12.4
PI437662,12.4
PI476919,12.4
PI507259,12.4
PI507592,12.4
PI549036,12.4
PI566961,12.4
PI378699A,12.4
PI407032B,12.4
PI407318A,12.4
PI424114A,12.4
PI588007A,14.399999999999999
PI594475A,15.3
PI594662A,12.4
PI612759A,12.4
PI175189,13.5
PI175192,12.5
PI189950,13.4
PI204333,12.5
PI323562,12.5
PI323578,12.5
PI398678,14.35
PI407033,12.5
PI407178,12.5
PI407196,10.95
PI407306,12.5
PI407307,12.5
PI407313,12.5
PI407314,12.5
PI424029,12.5
PI424077,12.5
PI424124,12.5
PI437783,12.5
PI468910,13.05
PI476882,14.55
PI483465,12.5
PI507821,12.5
PI562547,12.5
PI438440-1,12.5
PI424008B,12.5
PI566992A,14.8
PI567046A,12.5
PI567098A,12.5
PI578350B,12.5
PI578340A,12.5
PI219698,12.6
PI307836,12.6
PI398789,12.6
PI407213,12.6
PI407267,12.6
PI407957,12.6
PI407965,14.850000000000001
PI424079,10.8
PI424101,12.6
PI437935,12.6
PI438428,12.6
PI468912,13.5
PI483459,13.333333333333334
PI497956,13.6
PI507729,12.6
PI507819,12.6
PI507825,12.6
PI507827,12.6
PI548463,13.8
PI567413,12.6
PI424102A,12.6
PI424114B,12.6
PI507741A,12.6
PI567058A,15.149999999999999
PI567117A,12.6
PI567133A,12.6
PI165563,11.1
PI175197,12.7
PI212606,13.399999999999999
PI221972,12.7
PI374181,12.7
PI398591,14.549999999999999
PI407214,12.7
PI437658,12.7
PI441381,12.7
PI468905,12.7
PI468908,13.3
PI479744,10.649999999999999
PI507823,12.7
PI507842,12.7
PI562565,12.7
PI567401,12.7
PI438282B,12.7
PI378696A,12.7
PI407318B,12.7
PI567001A,12.7
PI567046B,14.65
PI594450,16.0
PI587978B,16.1
PI603623,12.7
PI605906,14.65
PI594458A,12.7
PI594790C,12.7
PI174854,12.8
PI215811,12.8
PI399097,14.4
PI407070,12.8
PI407272,12.8
PI407876,15.0
PI417445,12.8
PI423831,12.8
PI437663,12.8
PI464938,12.8
PI471936,12.8
PI479749,11.3
PI497958,12.8
PI507591,12.8
PI507757,12.8
PI407814-2,13.75
PI424103A,12.8
PI464937B,12.8
PI566998A,13.7
PI567007A,12.8
PI567089A,12.8
PI578350A,12.8
PI603170,12.8
PI603493,12.8
PI603666,13.65
PI603692,12.8
PI594758A,12.8
PI164885,12.9
PI203406,12.9
PI259540,12.9
PI365426,12.9
PI398478,14.95
PI398488,14.850000000000001
PI407305,12.9
PI407801,12.9
PI417428,12.9
PI424007,12.9
PI429330,12.9
PI437800,12.9
PI471927,15.899999999999999
PI507843,12.9
PI567063,12.9
PI567134,12.9
PI567388,14.8
PI407309A,12.9
PI407309B,12.9
PI479753B,10.7
PI567394C,12.9
PI567406B,12.9
PI567056A,15.2
PI567064B,12.9
PI594849,12.9
PI594005E,18.0
PI594740B,12.9
PI612753A,12.9
PI612759C,12.9
PI605778B,12.9
PI165947,13.0
PI166105,14.1
PI171438,13.0
PI175186,13.0
PI181698,13.0
PI194773,13.0
PI197182,13.0
PI284873,13.0
PI416827,13.0
PI417579,13.6
PI438312,13.0
PI441355,13.0
PI507814,13.0
PI562566,13.0
PI567309,13.0
PI468398C,13.0
PI483468A,13.0
PI567235B,13.0
PI567009A,13.0
PI567056B,13.0
PI567086A,13.0
PI567097A,13.0
PI567145A,13.0
PI594721,13.0
PI587630B,15.85
PI603912,13.0
PI606414,13.0
PI603724C,13.0
PI605787C,13.0
PI133226,13.1
PI196175,14.75
PI265491,13.1
PI374157,13.1
PI374163,13.1
PI401418,13.1
PI416835,13.1
PI506880,13.1
PI506889,13.1
PI507767,13.1
PI567305,14.850000000000001
PI407781C,13.1
PI407316A,13.1
PI468398A,13.1
PI483468B,13.1
PI507594A,13.1
PI567303B,13.1
PI567310A,13.1
PI578318A,13.5
PI566985B,13.1
PI567082B,13.1
PI593998,13.7
PI594655,13.1
PI594713,14.600000000000001
PI587622B,15.75
PI587726B,15.0
PI594708A,13.1
PI605758A,14.3
PI82278,13.2
PI175191,13.2
PI245007,13.2
PI307881,13.2
PI323561,13.2
PI323568,13.2
PI323573,13.2
PI326580,13.2
PI374156,13.2
